Date : 2021-07-23 16:54:32
Directory : d:\BOA\Dev\apisBoaExpress
Total : 189 files,  22839 codes, 1989 comments, 2351 blanks, all 27179 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| src\test\java\com\boa\api\security                                                                         |          4 |        359 |          6 |         71 |        436 |
| src\test\java\com\boa\api\security\jwt                                                                     |          2 |        202 |          0 |         44 |        246 |
| src\test\java\com\boa\api\service                                                                          |          3 |        465 |         13 |         85 |        563 |
| src\test\java\com\boa\api\service\mapper                                                                   |          1 |        100 |          3 |         30 |        133 |
| src\test\java\com\boa\api\web                                                                              |          8 |      1,574 |        116 |        279 |      1,969 |
| src\test\java\com\boa\api\web\rest                                                                         |          8 |      1,574 |        116 |        279 |      1,969 |
| src\test\java\com\boa\api\web\rest\errors                                                                  |          2 |        153 |          3 |         30 |        186 |
| src\test\resources                                                                                         |          5 |        131 |         41 |         18 |        190 |
| src\test\resources\config                                                                                  |          2 |         86 |         41 |          9 |        136 |
| src\test\resources\i18n                                                                                    |          1 |          1 |          0 |          1 |          2 |
| src\test\resources\templates                                                                               |          1 |          1 |          0 |          1 |          2 |
| src\test\resources\templates\mail                                                                          |          1 |          1 |          0 |          1 |          2 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                   | language     | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| d:\BOA\Dev\apisBoaExpress\.jhipster\ParamEndPoint.json                                                     | JSON         |         40 |          0 |          1 |         41 |
| d:\BOA\Dev\apisBoaExpress\.jhipster\Pays.json                                                              | JSON         |         44 |          0 |          1 |         45 |
| d:\BOA\Dev\apisBoaExpress\.jhipster\RequestParam.json                                                      | JSON         |         58 |          0 |          1 |         59 |
| d:\BOA\Dev\apisBoaExpress\.jhipster\Tracking.json                                                          | JSON         |         74 |          0 |          1 |         75 |
| d:\BOA\Dev\apisBoaExpress\.jhipster\Transaction.json                                                       | JSON         |        128 |          0 |          1 |        129 |
| d:\BOA\Dev\apisBoaExpress\.lintstagedrc.js                                                                 | JavaScript   |          3 |          0 |          1 |          4 |
| d:\BOA\Dev\apisBoaExpress\.mvn\wrapper\MavenWrapperDownloader.java                                         | Java         |         76 |         31 |         11 |        118 |
| d:\BOA\Dev\apisBoaExpress\.mvn\wrapper\maven-wrapper.properties                                            | Properties   |          2 |          0 |          1 |          3 |
| d:\BOA\Dev\apisBoaExpress\.prettierignore                                                                  | Ignore       |          8 |          0 |          1 |          9 |
| d:\BOA\Dev\apisBoaExpress\.prettierrc                                                                      | JSON         |         14 |          0 |          5 |         19 |
| d:\BOA\Dev\apisBoaExpress\.yo-rc-global.json                                                               | JSON         |          8 |          0 |          1 |          9 |
| d:\BOA\Dev\apisBoaExpress\.yo-rc.json                                                                      | JSON         |         46 |          0 |          1 |         47 |
| d:\BOA\Dev\apisBoaExpress\README.md                                                                        | Markdown     |         76 |          0 |         44 |        120 |
| d:\BOA\Dev\apisBoaExpress\checkstyle.xml                                                                   | XML          |         11 |          8 |          2 |         21 |
| d:\BOA\Dev\apisBoaExpress\mvnw.cmd                                                                         | Batch        |         96 |         51 |         36 |        183 |
| d:\BOA\Dev\apisBoaExpress\package-lock.json                                                                | JSON         |      6,150 |          0 |          1 |      6,151 |
| d:\BOA\Dev\apisBoaExpress\package.json                                                                     | JSON         |         58 |          0 |          1 |         59 |
| d:\BOA\Dev\apisBoaExpress\pom.xml                                                                          | XML          |        908 |         52 |         13 |        973 |
| d:\BOA\Dev\apisBoaExpress\sonar-project.properties                                                         | Properties   |         20 |          4 |          5 |         29 |
| d:\BOA\Dev\apisBoaExpress\src\main\docker\app.yml                                                          | YAML         |         21 |          7 |          1 |         29 |
| d:\BOA\Dev\apisBoaExpress\src\main\docker\grafana\provisioning\dashboards\JVM.json                         | JSON         |      3,778 |          0 |          1 |      3,779 |
| d:\BOA\Dev\apisBoaExpress\src\main\docker\grafana\provisioning\dashboards\dashboard.yml                    | YAML         |         10 |          0 |          2 |         12 |
| d:\BOA\Dev\apisBoaExpress\src\main\docker\grafana\provisioning\datasources\datasource.yml                  | YAML         |         28 |         20 |          3 |         51 |
| d:\BOA\Dev\apisBoaExpress\src\main\docker\jhipster-control-center.yml                                      | YAML         |         18 |         32 |          3 |         53 |
| d:\BOA\Dev\apisBoaExpress\src\main\docker\jib\entrypoint.sh                                                | Shell Script |          2 |          1 |          2 |          5 |
| d:\BOA\Dev\apisBoaExpress\src\main\docker\monitoring.yml                                                   | YAML         |         22 |          9 |          1 |         32 |
| d:\BOA\Dev\apisBoaExpress\src\main\docker\postgresql.yml                                                   | YAML         |         10 |          5 |          1 |         16 |
| d:\BOA\Dev\apisBoaExpress\src\main\docker\prometheus\prometheus.yml                                        | YAML         |         12 |         15 |          5 |         32 |
| d:\BOA\Dev\apisBoaExpress\src\main\docker\sonar.yml                                                        | YAML         |          8 |          5 |          1 |         14 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\ApisBoaExpressApp.java                                 | Java         |         83 |         12 |          9 |        104 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\ApplicationWebXml.java                                 | Java         |         11 |          5 |          4 |         20 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\GeneratedByJHipster.java                               | Java         |         11 |          0 |          3 |         14 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\aop\logging\LoggingAspect.java                         | Java         |         70 |         32 |         10 |        112 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\ApplicationProperties.java                      | Java         |          4 |          6 |          3 |         13 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\AsyncConfiguration.java                         | Java         |         39 |          0 |          8 |         47 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\CacheConfiguration.java                         | Java         |         66 |          1 |         12 |         79 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\Constants.java                                  | Java         |          7 |          4 |          5 |         16 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\DatabaseConfiguration.java                      | Java         |         14 |          0 |          3 |         17 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\DateTimeFormatConfiguration.java                | Java         |         14 |          3 |          4 |         21 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\JacksonConfiguration.java                       | Java         |         31 |         13 |          8 |         52 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\LiquibaseConfiguration.java                     | Java         |         61 |          2 |          7 |         70 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\LocaleConfiguration.java                        | Java         |         22 |          0 |          5 |         27 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\LoggingAspectConfiguration.java                 | Java         |         14 |          0 |          4 |         18 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\LoggingConfiguration.java                       | Java         |         37 |          3 |          8 |         48 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\SecurityConfiguration.java                      | Java         |         45 |         51 |          8 |        104 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\WebConfigurer.java                              | Java         |         39 |         13 |          9 |         61 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\config\package-info.java                               | Java         |          1 |          3 |          1 |          5 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\domain\AbstractAuditingEntity.java                     | Java         |         57 |          4 |         16 |         77 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\domain\Authority.java                                  | Java         |         48 |          4 |         10 |         62 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\domain\ParamEndPoint.java                              | Java         |        134 |          5 |         35 |        174 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\domain\Pays.java                                       | Java         |        110 |          5 |         28 |        143 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\domain\PersistentAuditEvent.java                       | Java         |         88 |          5 |         22 |        115 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\domain\RequestParam.java                               | Java         |        153 |          5 |         38 |        196 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\domain\Tracking.java                                   | Java         |        177 |          5 |         43 |        225 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\domain\Transaction.java                                | Java         |        455 |          5 |        106 |        566 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\domain\User.java                                       | Java         |        181 |          6 |         46 |        233 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\domain\UserExtra.java                                  | Java         |         77 |          0 |         21 |         98 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\domain\package-info.java                               | Java         |          1 |          3 |          1 |          5 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\repository\AuthorityRepository.java                    | Java         |          4 |          3 |          3 |         10 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\repository\ParamEndPointRepository.java                | Java         |          9 |          3 |          3 |         15 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\repository\PaysRepository.java                         | Java         |          9 |          3 |          3 |         15 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\repository\PersistenceAuditEventRepository.java        | Java         |         13 |          3 |          6 |         22 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\repository\RequestParamRepository.java                 | Java         |         10 |          3 |          3 |         16 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\repository\TrackingRepository.java                     | Java         |         13 |          3 |          3 |         19 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\repository\TransactionRepository.java                  | Java         |         51 |          5 |         11 |         67 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\repository\UserExtraRepository.java                    | Java         |          4 |          0 |          3 |          7 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\repository\UserRepository.java                         | Java         |         28 |          3 |         12 |         43 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\repository\package-info.java                           | Java         |          1 |          3 |          1 |          5 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\request\Beneficiary.java                               | Java         |         46 |          0 |         15 |         61 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\request\CalculfraisTransfertRequest.java               | Java         |         73 |          0 |         18 |         91 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\request\ConfirmTransfertRequest.java                   | Java         |         33 |          0 |         12 |         45 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\request\EnvoiTransfertRequest.java                     | Java         |         22 |          0 |          9 |         31 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\request\PaysActifsRequest.java                         | Java         |         22 |          0 |          9 |         31 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\request\Sender.java                                    | Java         |         73 |          0 |         18 |         91 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\request\Transaction.java                               | Java         |        202 |          0 |         42 |        244 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\request\TransactionByNumRequest.java                   | Java         |         22 |          0 |          9 |         31 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\request\TransactionByRefRequest.java                   | Java         |         34 |          0 |         12 |         46 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\AmountPerCountryResponse.java                 | Java         |         25 |          0 |         10 |         35 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\AmountPerPeriodResponse.java                  | Java         |         25 |          0 |         10 |         35 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\CalculfraisTransfertResponse.java             | Java         |         60 |          0 |         15 |         75 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\ConfirmTansfertResponse.java                  | Java         |         62 |          0 |         15 |         77 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\Confirmdeposit.java                           | Java         |        110 |          0 |         24 |        134 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\EnvoiTransfertResponse.java                   | Java         |         45 |          0 |         12 |         57 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\Fraistransaction.java                         | Java         |        206 |          0 |         42 |        248 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\GenericResponse.java                          | Java         |         77 |          0 |         19 |         96 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\ItemCountry.java                              | Java         |         45 |          0 |         15 |         60 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\ItemPeriod.java                               | Java         |         87 |          0 |         22 |        109 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\MontantTransactionResponse.java               | Java         |         33 |          0 |         12 |         45 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\PaysActifsResponse.java                       | Java         |         48 |          0 |         16 |         64 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\PaysResp.java                                 | Java         |         33 |          0 |         12 |         45 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\Status.java                                   | Java         |         70 |          0 |         18 |         88 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\TotalTransactionResponse.java                 | Java         |         33 |          0 |         12 |         45 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\Transaction.java                              | Java         |        286 |          0 |         57 |        343 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\TransactionByNumResponse.java                 | Java         |         49 |          0 |         16 |         65 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\response\TransactionByRefResponse.java                 | Java         |         49 |          0 |         17 |         66 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\security\AuthoritiesConstants.java                     | Java         |          7 |          3 |          6 |         16 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\security\DomainUserDetailsService.java                 | Java         |         50 |          3 |         10 |         63 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\security\SecurityUtils.java                            | Java         |         44 |         24 |         10 |         78 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\security\SpringSecurityAuditorAware.java               | Java         |         12 |          3 |          4 |         19 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\security\UserNotActivatedException.java                | Java         |         11 |          3 |          6 |         20 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\security\jwt\JWTConfigurer.java                        | Java         |         16 |          0 |          6 |         22 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\security\jwt\JWTFilter.java                            | Java         |         36 |          4 |          8 |         48 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\security\jwt\TokenProvider.java                        | Java         |         83 |          0 |         18 |        101 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\security\package-info.java                             | Java         |          1 |          3 |          1 |          5 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\ApiService.java                                | Java         |      1,083 |         38 |         35 |      1,156 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\EmailAlreadyUsedException.java                 | Java         |          7 |          0 |          4 |         11 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\InvalidPasswordException.java                  | Java         |          7 |          0 |          4 |         11 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\MailService.java                               | Java         |         90 |          6 |         17 |        113 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\ParamEndPointService.java                      | Java         |         41 |         25 |         11 |         77 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\PaysService.java                               | Java         |         51 |         35 |         13 |         99 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\RequestParamService.java                       | Java         |         42 |         26 |         11 |         79 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\TrackingService.java                           | Java         |         67 |         27 |         12 |        106 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\TransactionService.java                        | Java         |        113 |         29 |         20 |        162 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\UserService.java                               | Java         |        289 |         31 |         26 |        346 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\UsernameAlreadyUsedException.java              | Java         |          7 |          0 |          4 |         11 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\dto\AdminUserDTO.java                          | Java         |        144 |          5 |         45 |        194 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\dto\PasswordChangeDTO.java                     | Java         |         23 |          4 |          9 |         36 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\dto\UserDTO.java                               | Java         |         31 |          6 |         12 |         49 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\dto\package-info.java                          | Java         |          1 |          3 |          1 |          5 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\mapper\UserMapper.java                         | Java         |        123 |          6 |         21 |        150 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\mapper\package-info.java                       | Java         |          1 |          3 |          1 |          5 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\package-info.java                              | Java         |          1 |          3 |          1 |          5 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\utils\ICodeDescResponse.java                   | Java         |         40 |          6 |          5 |         51 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\utils\Slf4jMDCFilter.java                      | Java         |          3 |         70 |          2 |         75 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\utils\Slf4jMDCFilterConfiguration.java         | Java         |          3 |         24 |          2 |         29 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\service\utils\Utils.java                               | Java         |         51 |          5 |          9 |         65 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\AccountResource.java                          | Java         |        118 |         58 |         20 |        196 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\ApisResource.java                             | Java         |        184 |         53 |         17 |        254 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\ParamEndPointResource.java                    | Java         |         27 |         81 |          8 |        116 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\PaysResource.java                             | Java         |         39 |         59 |          7 |        105 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\PublicUserResource.java                       | Java         |         45 |         10 |         11 |         66 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\RequestParamResource.java                     | Java         |         33 |         85 |          8 |        126 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\TrackingResource.java                         | Java         |         37 |        107 |          8 |        152 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\TransactionResource.java                      | Java         |         44 |        203 |          9 |        256 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\UserJWTController.java                        | Java         |         50 |          6 |         13 |         69 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\UserResource.java                             | Java         |        119 |         63 |         19 |        201 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\errors\BadRequestAlertException.java          | Java         |         31 |          0 |         11 |         42 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\errors\EmailAlreadyUsedException.java         | Java         |          7 |          0 |          4 |         11 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\errors\ErrorConstants.java                    | Java         |         13 |          0 |          5 |         18 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\errors\ExceptionTranslator.java               | Java         |        195 |          8 |         21 |        224 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\errors\FieldErrorVM.java                      | Java         |         22 |          0 |         11 |         33 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\errors\InvalidPasswordException.java          | Java         |          9 |          0 |          5 |         14 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\errors\LoginAlreadyUsedException.java         | Java         |          7 |          0 |          4 |         11 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\errors\package-info.java                      | Java         |          1 |          5 |          1 |          7 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\package-info.java                             | Java         |          1 |          3 |          1 |          5 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\vm\KeyAndPasswordVM.java                      | Java         |         17 |          3 |          8 |         28 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\vm\LoginVM.java                               | Java         |         37 |          4 |         13 |         54 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\vm\ManagedUserVM.java                         | Java         |         21 |          5 |         10 |         36 |
| d:\BOA\Dev\apisBoaExpress\src\main\java\com\boa\api\web\rest\vm\package-info.java                          | Java         |          1 |          3 |          1 |          5 |
| d:\BOA\Dev\apisBoaExpress\src\main\resources\config\application-dev.yml                                    | YAML         |         67 |         32 |          8 |        107 |
| d:\BOA\Dev\apisBoaExpress\src\main\resources\config\application-prod.yml                                   | YAML         |         65 |         64 |          9 |        138 |
| d:\BOA\Dev\apisBoaExpress\src\main\resources\config\application-tls.yml                                    | YAML         |         10 |          9 |          1 |         20 |
